City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Freetown,SL,8.484,-13.2299,78.31,80,66,6.87,broken clouds
241,Ngunguru,NZ,-35.6167,174.5,61.45,75,86,19.53,moderate rain
242,Chernyshevskiy,RU,63.0128,112.4714,48.81,66,9,7.0,clear sky
243,Chuy,UY,-33.6971,-53.4616,48.65,67,50,15.97,scattered clouds
244,Broken Hill,AU,-31.95,141.4333,45.14,87,0,9.8,clear sky
245,Iralaya,HN,15.0,-83.2333,77.13,86,100,10.76,overcast clouds
246,Ribeira Grande,PT,38.5167,-28.7,61.99,86,89,14.32,overcast clouds
247,Fairbanks,US,64.8378,-147.7164,70.61,40,0,5.75,clear sky
248,Honiara,SB,-9.4333,159.95,83.7,67,30,4.5,scattered clouds
249,Mount Gambier,AU,-37.8333,140.7667,51.13,79,100,8.75,overcast clouds
250,Sakakah,SA,29.9697,40.2064,85.57,13,0,7.99,clear sky
251,Mashhad,IR,36.297,59.6062,66.34,72,0,4.61,clear sky
252,Hasaki,JP,35.7333,140.8333,66.6,89,100,28.01,light rain
253,Calama,CL,-22.4667,-68.9333,59.49,10,0,14.97,clear sky
254,Artigas,UY,-30.4,-56.4667,41.68,64,0,6.51,clear sky
255,Mungaoli,IN,24.4167,78.1,88.77,41,82,12.03,broken clouds
256,Sukumo,JP,32.9333,132.7333,70.97,79,26,2.71,scattered clouds
257,Phayakkhaphum Phisai,TH,15.5163,103.1937,82.42,72,100,6.42,overcast clouds
258,Shenxian,CN,36.2411,115.6672,78.87,46,100,10.36,heavy intensity rain
259,Paracin,RS,43.8608,21.4078,59.29,97,17,2.89,few clouds
260,Tanout,NE,14.9709,8.8879,86.11,36,57,1.7,broken clouds
261,Tautira,PF,-17.7333,-149.15,78.21,81,58,20.8,light rain
262,Ogaminana,NG,7.5946,6.2248,72.14,96,100,5.08,overcast clouds
263,Igrim,RU,63.1906,64.4162,56.55,91,98,12.28,light rain
264,Tuatapere,NZ,-46.1333,167.6833,39.51,97,99,5.48,moderate rain
265,Cap Malheureux,MU,-19.9842,57.6142,73.53,77,63,20.8,light rain
266,Dubai,AE,25.2582,55.3047,86.25,62,0,9.22,clear sky
267,Alipur,PK,29.3846,70.9116,91.2,44,0,16.8,clear sky
268,Batagay,RU,67.6333,134.6333,64.74,33,19,7.49,few clouds
269,Labytnangi,RU,66.6572,66.4183,57.09,77,53,9.37,broken clouds
270,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,4.61,few clouds
271,Kurchum,KZ,48.5722,83.6542,66.83,63,100,2.66,overcast clouds
272,Touros,BR,-5.1989,-35.4608,77.41,85,63,7.76,broken clouds
273,Berlevag,NO,70.8578,29.0864,57.0,87,100,4.61,overcast clouds
274,Tulum,MX,20.2167,-87.4667,83.59,68,0,6.55,clear sky
275,Peace River,CA,56.2501,-117.286,71.91,26,20,18.41,few clouds
276,Marystown,CA,47.1666,-55.1483,52.03,87,66,10.54,broken clouds
277,Saint-Joseph,RE,-21.3667,55.6167,62.98,79,26,12.33,scattered clouds
278,Raudeberg,NO,61.9875,5.1352,52.95,89,100,15.97,light rain
279,Hazorasp,UZ,41.3194,61.0742,64.24,35,28,6.82,scattered clouds
280,Pochutla,MX,15.7432,-96.4661,79.83,70,87,6.11,overcast clouds
281,Flores,GT,16.9226,-89.8994,87.75,54,45,8.1,scattered clouds
282,Rhyl,GB,53.3196,-3.4886,58.84,18,12,12.35,few clouds
283,Feicheng,CN,35.2606,117.9675,70.16,65,100,7.61,light rain
284,Souillac,MU,-20.5167,57.5167,68.38,94,75,3.44,broken clouds
285,Zhigansk,RU,66.7697,123.3711,52.39,72,99,11.77,overcast clouds
286,Grevesmuhlen,DE,53.8667,11.1833,57.29,84,5,4.5,clear sky
287,Rio Grande,BR,-32.035,-52.0986,46.51,58,33,18.41,scattered clouds
288,Namibe,AO,-15.1961,12.1522,70.75,50,0,4.38,clear sky
289,Ganzhou,CN,28.8184,115.4327,71.91,93,100,2.82,overcast clouds
290,Lavrentiya,RU,65.5833,-171.0,37.81,64,98,19.62,overcast clouds
291,Santa Maria,BR,-29.6842,-53.8069,43.9,61,0,5.75,clear sky
292,Kardla,EE,58.9978,22.7492,56.05,94,4,8.66,clear sky
293,Kangaatsiaq,GL,68.3065,-53.4641,34.48,86,18,13.31,few clouds
294,Ola,RU,59.5833,151.2833,43.14,94,100,4.65,overcast clouds
295,Prince Rupert,CA,54.3161,-130.3201,51.89,76,100,14.97,overcast clouds
296,Umm Lajj,SA,25.0213,37.2685,85.89,47,0,8.03,clear sky
297,Antofagasta,CL,-23.65,-70.4,58.28,84,27,7.0,scattered clouds
298,Karatsu,JP,33.4425,129.9697,71.49,55,90,7.0,overcast clouds
299,Atasu,KZ,48.6814,71.6433,59.23,49,75,1.28,broken clouds
300,Abalak,RU,58.1286,68.5944,50.88,98,38,4.36,scattered clouds
301,Burnie,AU,-41.0667,145.9167,49.91,62,82,11.97,broken clouds
302,Sur,OM,22.5667,59.5289,86.63,70,0,12.44,clear sky
303,Copiapo,CL,-27.3667,-70.3333,51.49,62,0,1.23,clear sky
304,Heihe,CN,50.2441,127.4902,66.4,58,12,5.01,few clouds
305,Beloha,MG,-25.1667,45.05,66.79,83,4,14.14,clear sky
306,Puri,IN,19.8,85.85,79.32,79,94,9.28,overcast clouds
307,Hobyo,SO,5.3505,48.5268,78.51,83,79,27.96,broken clouds
308,Biscarrosse,FR,44.3945,-1.1672,64.35,88,0,4.61,clear sky
